"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.247534344895283,0.684216025059322,0.186494742188565,0.215270621353469,0.589236539502023,0.456367167004058,0.364035178658453,0.683177478512546,0.686673603554131,0.56183596910951,0.245612304259313,0.358115441108342,-0.139908521044928,0.756824747991981,0.473045435039329,0.598535982820041,0.488537889470295,0.129624062026418,0.704231773624379,0.333595614986431,0.434016923832472,0.285937847392648,0.675540243208287,-0.043462078086477,-0.077359147677693,0.351081957136278,0.583723728064049,0,-100,1,100,-100,0,1,-5,0,1,1,-1,94,100,2,1,-1,-3,4,0,2,5,55,2,-73,100,2,0
"801020.SI",0.247534344895283,1,-0.035597499034384,0.0883665289981778,0.682633960725086,0.0584376188164449,0.0196474376212809,0.541447825573054,0.294244227400307,0.0496837201496683,-0.0185523771745772,-0.29122110795414,-0.157497584435515,-0.070410563582495,0.359947189847392,-0.0835509173705375,0.213525210570356,0.614146385594489,0.0188542774278799,0.377448236412239,0.126841368207224,-0.155880745504198,-0.297805970134757,0.039128040250627,0.0055269789727028,-0.215615558813817,0.199475968672247,0.453852573582503,100,0,-2,0,40,100,100,-100,100,100,100,100,100,52,100,100,100,86,100,100,100,100,100,100,-100,-100,100,100
"801030.SI",0.684216025059322,-0.035597499034384,1,0.302431030888325,-0.157377297195684,0.475323171490864,0.457499061206877,0.0360217056023773,0.527788037933836,0.679242002908374,0.440752265153999,0.401973870077214,0.388751413855745,0.166191338417997,0.451255971472675,0.435115768304481,0.530975197033316,0.212529354582477,0.128773753444219,0.541345153211422,0.254026559683471,0.511917930761425,0.415808020909529,0.791260840100145,0.162682156078538,0.138529770865103,0.279827544793054,0.309170269417569,-1,2,0,100,1,0,0,-8,-1,0,0,-4,-5,85,-1,-1,-1,0,100,-1,3,3,4,0,-62,-100,0,2
"801040.SI",0.186494742188565,0.0883665289981778,0.302431030888325,1,0.247682974436073,0.161708364129528,0.0677635545664213,-0.120562942032282,0.357391302935993,0.269862988063302,-0.142377436996603,0.249337280596011,0.620021951215318,0.0863809888360858,0.182114999496465,0.188127953163252,0.275100804715855,0.165416931008209,0.443735629085273,0.150106149501472,0.464856117329345,0.370825025172933,0.0648679478120576,0.280339855711703,-0.0939265133290388,0.460222245728782,0.27487090900569,0.391832917046873,-100,0,-100,0,80,100,100,-100,-100,-41,100,-100,-31,-100,1,100,100,99,-100,100,11,58,100,-100,-100,97,100,60
"801050.SI",0.215270621353469,0.682633960725086,-0.157377297195684,0.247682974436073,1,0.367435453332364,0.220341119723228,0.412619905719021,0.434457147729284,0.23163439440757,0.240999135396794,-0.165176369660157,0.0294955290906938,0.00300191706734051,0.440529295731047,0.32017030347835,0.394960800413355,0.629675035763294,-0.13246341535091,0.400253720930207,0.303246017503006,0.0991972503254524,0.00841973187726792,0.0421548343362536,-0.0967355904950948,-0.159588373124519,0.454395171683174,0.475093089341379,100,-40,-1,-80,0,100,100,-10,100,100,100,100,100,48,100,100,100,5,100,100,3,100,100,100,-100,100,97,6
"801080.SI",0.589236539502023,0.0584376188164449,0.475323171490864,0.161708364129528,0.367435453332364,1,0.833111307676936,0.19339266778601,0.566359359931612,0.772696485059552,0.855048035151058,0.14759136518803,0.233920206101132,0.0403521248994265,0.608600494934399,0.748544669603669,0.788681195937383,0.471837982513483,-0.211719999904927,0.687952567561734,0.553323237144737,0.634687500109929,0.649560343293441,0.554192207339643,0.228926054863662,0.00600988292917556,0.782626231383773,0.579175221856269,0,-100,0,-100,-100,0,0,-4,-1,0,1,-1,-8,100,-1,-1,-2,-56,100,0,-1,2,5,0,100,-100,0,-2
"801110.SI",0.456367167004058,0.0196474376212809,0.457499061206877,0.0677635545664213,0.220341119723228,0.833111307676936,1,0.107516007980271,0.38019980014895,0.643842133362201,0.728336562304522,0.125252913362719,0.148724492221376,0.0539284817284606,0.49432441375141,0.5689448739314,0.601926980775795,0.428836276776857,-0.18299058857735,0.588648536294829,0.453583965361025,0.496927185498131,0.660721149518522,0.513406621810965,0.273783531863078,0.0363582497254576,0.686684492219873,0.433920520091462,-1,-100,0,-100,-100,0,0,-54,-3,-2,0,0,-42,100,-1,-3,-5,-7,100,-1,-46,4,12,1,100,-100,0,-1
"801120.SI",0.364035178658453,0.541447825573054,0.0360217056023773,-0.120562942032282,0.412619905719021,0.19339266778601,0.107516007980271,1,0.25458820772479,0.0826162659867346,0.249368441006556,-0.340899794248185,-0.211856547003762,-0.243101926969912,0.255065337805586,0.180474122288663,0.135228312490504,0.323841844123724,-0.21697612753516,-0.0245932809393047,-0.103568010101425,-0.215121054367067,-0.189640821564913,-0.112968036989479,0.186314100328774,-0.1593626088794,-0.0338491600025997,0.165829292865997,5,100,8,100,10,4,54,0,89,95,1,-3,100,90,99,3,98,100,-100,100,100,100,61,100,-93,-100,100,100
"801130.SI",0.683177478512546,0.294244227400307,0.527788037933836,0.357391302935993,0.434457147729284,0.566359359931612,0.38019980014895,0.25458820772479,1,0.861697479656081,0.303160316782879,0.157134657206835,0.621638590652136,0.176919286919457,0.748105952784813,0.727664462126906,0.861703449719466,0.500208934228852,0.245855941920252,0.588127687296575,0.547958497482442,0.643065598494837,0.307220309544811,0.593025850310109,-0.133168438611419,0.163279213294657,0.501821611979588,0.675456414069235,0,-100,1,100,-100,1,3,-89,0,0,1,100,100,-2,2,0,-1,0,100,3,4,6,10,3,-81,100,2,3
"801140.SI",0.686673603554131,0.0496837201496683,0.679242002908374,0.269862988063302,0.23163439440757,0.772696485059552,0.643842133362201,0.0826162659867346,0.861697479656081,1,0.571387034611982,0.313061173521551,0.642418412323576,0.13703625992602,0.738316283272485,0.811637073792386,0.898246665612806,0.408306637911993,0.134002045458822,0.67168542156956,0.658205324097665,0.806723128068205,0.618075753108614,0.73422071796229,-0.0584500818326998,0.253428541689619,0.630819936040304,0.622848867132158,-1,-100,0,41,-100,0,2,-95,0,0,1,1,-1,0,1,-1,-1,-1,100,1,4,4,7,1,-72,100,1,2
