证券代码,证券简称
801010.SI,"农林牧渔(申万)", 
801020.SI,"采掘(申万)", 
801030.SI,"化工(申万)", 
801040.SI,"钢铁(申万)", 
801050.SI,"有色金属(申万)", 
801080.SI,"电子(申万)", 
801110.SI,"家用电器(申万)", 
801120.SI,"食品饮料(申万)", 
801130.SI,"纺织服装(申万)", 
801140.SI,"轻工制造(申万)", 
801150.SI,"医药生物(申万)", 
801160.SI,"公用事业(申万)", 
801170.SI,"交通运输(申万)", 
801180.SI,"房地产(申万)", 
801200.SI,"商业贸易(申万)", 
801210.SI,"休闲服务(申万)", 
801230.SI,"综合(申万)", 
801710.SI,"建筑材料(申万)", 
801720.SI,"建筑装饰(申万)", 
801730.SI,"电气设备(申万)", 
801740.SI,"国防军工(申万)", 
801750.SI,"计算机(申万)", 
801760.SI,"传媒(申万)", 
801770.SI,"通信(申万)", 
801780.SI,"银行(申万)", 
801790.SI,"非银金融(申万)", 
801880.SI,"汽车(申万)", 
801890.SI,"机械设备(申万)", 
