证券代码,证券简称
801011.SI,林业Ⅱ(申万)
801012.SI,农产品加工(申万)
801013.SI,农业综合Ⅱ(申万)
801014.SI,饲料Ⅱ(申万)
801015.SI,渔业(申万)
801016.SI,种植业(申万)
801017.SI,畜禽养殖Ⅱ(申万)
801018.SI,动物保健Ⅱ(申万)
801021.SI,煤炭开采Ⅱ(申万)
801022.SI,其他采掘Ⅱ(申万)
801023.SI,石油开采Ⅱ(申万)
801024.SI,采掘服务Ⅱ(申万)
801032.SI,化学纤维(申万)
801033.SI,化学原料(申万)
801034.SI,化学制品(申万)
801035.SI,石油化工(申万)
801036.SI,塑料Ⅱ(申万)
801037.SI,橡胶(申万)
801041.SI,钢铁Ⅱ(申万)
801051.SI,金属非金属新材料(申万)
801053.SI,黄金Ⅱ(申万)
801054.SI,稀有金属(申万)
801055.SI,工业金属(申万)
801072.SI,通用机械(申万)
801073.SI,仪器仪表Ⅱ(申万)
801074.SI,专用设备(申万)
801075.SI,金属制品Ⅱ(申万)
801076.SI,运输设备Ⅱ(申万)
801081.SI,半导体(申万)
801082.SI,其他电子Ⅱ(申万)
801083.SI,元件Ⅱ(申万)
801084.SI,光学光电子(申万)
801085.SI,电子制造Ⅱ(申万)
801092.SI,汽车服务Ⅱ(申万)
801093.SI,汽车零部件Ⅱ(申万)
801094.SI,汽车整车(申万)
801101.SI,计算机设备Ⅱ(申万)
801102.SI,通信设备(申万)
801111.SI,白色家电(申万)
801112.SI,视听器材(申万)
801123.SI,饮料制造(申万)
801124.SI,食品加工(申万)
801131.SI,纺织制造(申万)
801132.SI,服装家纺(申万)
801141.SI,包装印刷Ⅱ(申万)
801142.SI,家用轻工(申万)
801143.SI,造纸Ⅱ(申万)
801144.SI,其他轻工制造Ⅱ(申万)
801151.SI,化学制药(申万)
801152.SI,生物制品Ⅱ(申万)
801153.SI,医疗器械Ⅱ(申万)
801154.SI,医药商业Ⅱ(申万)
801155.SI,中药Ⅱ(申万)
801156.SI,医疗服务Ⅱ(申万)
801161.SI,电力(申万)
801162.SI,环保工程及服务Ⅱ(申万)
801163.SI,燃气Ⅱ(申万)
801164.SI,水务Ⅱ(申万)
801171.SI,港口Ⅱ(申万)
801172.SI,公交Ⅱ(申万)
801173.SI,航空运输Ⅱ(申万)
801174.SI,机场Ⅱ(申万)
801175.SI,高速公路Ⅱ(申万)
801176.SI,航运Ⅱ(申万)
801177.SI,铁路运输Ⅱ(申万)
801178.SI,物流Ⅱ(申万)
801181.SI,房地产开发Ⅱ(申万)
801182.SI,园区开发Ⅱ(申万)
801191.SI,多元金融Ⅱ(申万)
801192.SI,银行Ⅱ(申万)
801193.SI,券商Ⅱ(申万)
801194.SI,保险Ⅱ(申万)
801202.SI,贸易Ⅱ(申万)
801203.SI,一般零售(申万)
801204.SI,专业零售(申万)
801205.SI,商业物业经营(申万)
801211.SI,餐饮Ⅱ(申万)
801212.SI,景点(申万)
801213.SI,酒店Ⅱ(申万)
801214.SI,旅游综合Ⅱ(申万)
801215.SI,其他休闲服务Ⅱ(申万)
801222.SI,计算机应用(申万)
801223.SI,通信运营Ⅱ(申万)
801231.SI,综合Ⅱ(申万)
801711.SI,水泥制造Ⅱ(申万)
801712.SI,玻璃制造Ⅱ(申万)
801713.SI,其他建材Ⅱ(申万)
801721.SI,房屋建设Ⅱ(申万)
801722.SI,装修装饰Ⅱ(申万)
801723.SI,基础建设(申万)
801724.SI,专业工程(申万)
801725.SI,园林工程Ⅱ(申万)
801731.SI,电机Ⅱ(申万)
801732.SI,电气自动化设备(申万)
801733.SI,电源设备(申万)
801734.SI,高低压设备(申万)
801741.SI,航天装备Ⅱ(申万)
801742.SI,航空装备Ⅱ(申万)
801743.SI,地面兵装Ⅱ(申万)
801744.SI,船舶制造Ⅱ(申万)
801751.SI,营销传播(申万)
801752.SI,互联网传媒(申万)
801761.SI,文化传媒(申万)
801881.SI,其他交运设备Ⅱ(申万)
